ERPZ MRP,Planejamento MRP,pt-BR
MRP Ticket,Ticket MRP,pt-BR
MRP Result,Resultado MRP,pt-BR
MRP Timeline,Linha do Tempo MRP,pt-BR
MRP Traceability,Rastreabilidade MRP,pt-BR
MRP Demand,Demanda MRP,pt-BR
MRP Stock,Estoque MRP,pt-BR
MRP Planned Inflow,Entrada Prevista MRP,pt-BR
MRP Settings,Parâmetros do MRP,pt-BR
MRP Company Group,Grupos de Empresas Multiempresa,pt-BR
MRP Inter Company Lead Time,Lead Time entre Empresas,pt-BR
MRP Log,Logs e Auditoria MRP,pt-BR
MRP Executed Document,Documentos Efetivados MRP,pt-BR
